RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Y0,Y1,Z_cat,Z,D,D_cat
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,2846.1656897980984,2959.7358251395535,0,0,0,0
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,3348.4335798353827,3443.6135350966365,1,0,0,1
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,3289.261373849693,3370.080691737715,1,1,1,1
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,2659.7226955035735,2761.6953069879605,1,0,0,0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,2821.3962573273966,2915.4737777312616,0,0,0,1
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,3088.6125830094147,3191.00642584844,0,0,0,0
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,8.602515547324915,91.66307631862365,0,0,0,0
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,2832.923448217025,2937.517098734322,1,1,0,1
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1347.0608920712114,1432.401437758228,0,0,0,0
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,2220.820614049459,2339.8572555427486,0,0,0,0
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,2667.041855197474,2766.72038183308,1,0,0,1
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,2182.6734638586104,2271.811007310837,0,0,0,0
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,1092.1766449084184,1213.4816355184296,0,0,0,1
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,4424.484030942308,4529.955274367001,0,0,0,0
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,1961.9755350689054,2068.402059318714,0,1,0,0
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,1852.4822488697216,1955.7003636243385,0,1,1,0
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,1012.190366067425,1113.5871760988903,1,0,0,1
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,991.0315257630272,1110.1276131033526,0,0,0,0
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,3011.7270727885643,3116.9486988716385,0,0,0,0
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,1754.4749619834363,1845.5492114902222,0,0,0,0
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,4702.058320092227,4798.012695820936,1,0,0,1
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,3801.603163527084,3902.5988606755895,1,0,0,1
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,2708.249145754436,2810.95424188918,1,0,0,1
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,352.1324297151311,455.6640566351184,1,0,0,1
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,4834.193393655139,4918.267762367698,0,0,0,0
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,1899.3034879228046,1999.274965922597,0,0,0,1
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,5142.38910843333,5241.409024885391,0,1,1,1
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,1070.1896452708413,1177.7534604859,0,0,0,1
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1982.2826408910996,2085.500649534883,0,0,0,0
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,1741.038867018868,1836.317898134761,1,0,0,1
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,3921.4806914062715,4040.5409547300405,1,0,0,1
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,3885.3696041395115,3975.118467180846,0,0,0,0
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,1624.9400946386186,1735.2584046088527,0,1,1,0
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,-2.5127972674152996,106.16840836544904,0,0,0,0
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,3309.1589856267647,3421.106260288183,0,0,0,0
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1866.630731465607,1980.3158099542597,1,1,0,1
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,2529.564564195926,2641.5654655013104,1,1,0,1
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,3645.193995617296,3750.416796687582,0,0,0,0
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,433.0742967711527,530.6666435810471,0,1,1,0
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,3704.692107416934,3803.159974784516,1,0,0,1
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,2046.2939463243968,2161.2959119024895,0,0,0,0
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,3568.193987095488,3650.3320227213644,0,0,0,0
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,3545.2702182801922,3640.2737974385113,1,0,0,1
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,5020.3736639021145,5117.581913742747,1,1,0,1
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,3586.4685198371653,3687.5020150133087,1,0,0,1
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,3376.8800343168505,3482.70525389687,0,0,0,1
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,3336.462588564299,3410.6108903077347,0,0,0,0
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,2743.3256997428457,2842.5038095852447,0,0,0,0
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,3040.3104593440858,3137.4097659146787,0,1,1,0
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,4696.157907377994,4792.095860024264,0,0,0,0
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,7044.265292341659,7142.508280917511,1,0,0,1
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,2978.9622418368826,3065.3417656278484,0,0,0,0
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,3600.6691859518833,3694.6072021030914,0,0,0,0
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,3427.105333789487,3526.76802809119,0,0,0,0
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1607.61071756027,1723.4424022526848,0,0,0,0
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,2458.5179938302426,2554.98979624514,0,0,0,0
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,2055.5504696381618,2135.3255640102507,0,0,0,0
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,2305.5493644932276,2413.826006171466,0,1,0,0
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,-527.6267829244593,-436.5924258319362,0,0,0,0
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,1488.2102879550318,1593.6606609329417,0,0,0,0
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,2322.4589366788837,2402.514613083291,0,0,0,0
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,2259.716171621181,2357.879779278344,0,0,0,0
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,3461.618871460718,3564.436802860855,0,0,0,0
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,4309.167171762392,4428.108479850053,0,1,0,0
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,2413.3201840169645,2522.190203326325,0,0,0,0
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1327.033330414803,1423.8017012980258,0,0,0,0
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,3231.7739549292405,3324.9656835188516,0,0,0,1
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,4318.452407936128,4423.786847198752,0,1,1,0
